Date,chl_mg_m3,chl_mg_m2
2010-05-10,0.089591922,5.762680398
2010-05-13,0.076153133,5.159374783
2010-05-16,0.067193941,6.045214892
2010-05-19,0.179183843,10.23867679
2010-05-23,0.208114568,11.3709372
2010-05-26,0.319171221,13.05901076
2010-05-29,0.247311034,13.0216259
2010-06-01,0.253843778,18.38734208
2010-06-05,0.507314257,18.03924013
2010-06-08,0.317304723,27.94847999
2010-06-11,3.267545374,166.6382013
2010-06-14,2.96493266,172.7038278
2010-06-17,8.819204796,341.4292142
2010-06-21,15.37061407,659.6625199
2011-04-26,0.055854964,1.755282144
2011-04-30,0.165885043,4.480349226
2011-05-04,0.23279341,3.462806176
2011-05-09,0.146986747,2.87892442
2011-05-13,1.218947868,15.73796715
2011-05-18,0.227262508,5.40383024
2011-05-22,0.381325617,9.109410992
2011-05-26,0.498705033,9.709291576
2011-05-30,4.405906731,62.69605792
2011-06-03,1.881430356,23.53726491
2011-06-07,1.8310349,57.34162965
2011-06-11,11.05900284,324.3826713
2011-06-15,11.01476683,268.2244389
2011-06-19,6.803386557,125.0477568
2011-06-23,6.59340549,176.3232854
